Title,Artist,Album,Status,Match Path
Fast Lane,Bad Meets Evil ft. Eminem,,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/Fast Lane Bad Meets Evil ft. Eminem.mp3
I Finally Found Someone,Barbra Streisand & Bryan Adams,1997,NOT_FOUND,
Live Tonight,Basto,Summer Session 11,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/Dan Desnoyers/Summer Session 11/06 Live Tonight.mp3
Keep On Temperature (Dj Cosmic Bootleg),Basto vs. Sean Paul,,NOT_FOUND,
Loser,Beck,,NOT_FOUND,
Back It Up (Dj Cosmic Short XTD),Beenie Man,,NOT_FOUND,
Do Me,Bell Biv DeVoe,,NOT_FOUND,
Benny Benassi-Satisfaction(Acapella),Benny Benassi,,NOT_FOUND,
Satisfaction (Acapella),Benny Benassi,,NOT_FOUND,
From A Distance,Bette Midler,1991 Top 100,NOT_FOUND,
Good,Better Than Ezra,,NOT_FOUND,
Drunk In Love (WILLY WILLIAM BOOTLEG),BEYONCE,,NOT_FOUND,
Baby I Love Your Way,Big Mountain,Reality Bites,NOT_FOUND,
IDFWU 'I Don't Fuck With You' (DJ Intro's) (DJ Intro Dirty),Big Sean ft. E-40,,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/Big_Sean_ft._E_40-IDFWU__I_Don_t_Fuck_With_You___DJ_Intro_s_-DJ_Intro_Dirty-98.mp3
Cradle Of Love (Remastered),Billy Idol,Greatest Hits,NOT_FOUND,
Say Goodbye To Hollywood,Billy Joel,Songs In The Attic [Live],NOT_FOUND,
The River of Dreams,Billy Joel,50 Years of the Piano Man,NOT_FOUND,
I Go to Extremes (Audio),Billy Joel,,NOT_FOUND,
We Didn't Start the Fire,Billy Joel,,NOT_FOUND,
Everybody Everybody,Black Box,,NOT_FOUND,
Strike It Up,Black Box,,NOT_FOUND,
Before I Let You Go,Blackstreet,Billboard Hits - 1995 - Disk 4,NOT_FOUND,
No Diggity,Blackstreet,,NOT_FOUND,
No Diggity,BLACKstreet Featuring Dr. Dre,,NOT_FOUND,
Snake (Original Mix)www.livingelectro.com,Blasterjaxx,,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/Blasterjaxx - Snake (Original Mix)www.livingelectro.com.mp3
I Believe,Blessid Union Of Souls,,NOT_FOUND,
Run-Around,Blues Traveler,,NOT_FOUND,
Hook,Blues Traveler,,NOT_FOUND,
