Title,Artist,Album,Status,Match Path
Turn Down For What Vs. Deez Nutz,DJ SNAKE ft LIL JON,,NOT_FOUND,
Electro House Bass (Original Mix),DJ Solovey,June 2009 - Best 150 Club & Party Music - DG-Lito!,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/Electro House Bass (Original Mix).mp3
Catchin' Up,DJ Solovey,www.livingelectro.com,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/Catchin' Up.mp3
Dance Techno Rave Happy Hardcore Bonkers,"DJ Tiesto, Happy Hardcore, Better Off Alone Vs Zombie Nation",,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/Dance Techno Rave Happy Hardcore Bonkers.mp3
Party Rock Anthem 2011 ( Club Remix ),DJ Veleno,,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/Party Rock Anthem 2011 ( Club Remix ).mp3
Po Pimp,Do Or Die,,NOT_FOUND,
Ghetto Jam,Domino,,NOT_FOUND,
I Love You Always Forever,Donna Lewis,20 Ans RTL 2,NOT_FOUND,
I Love You Always Forever,Donna Lewis,,NOT_FOUND,
Dre Day,Dr Dre And Snoop Doggy Dogg,,NOT_FOUND,
Keep Their Heads Ringin' (Friday Soundtrack),Dr. Dre,Billboard Hits - 1995 - Disk 4,NOT_FOUND,
Ain't Nothin But A G-Thang,Dr. Dre & Snoop Doggy Dogg,,NOT_FOUND,
Gangsta Lean,DRS,,NOT_FOUND,
In My Bed,Dru Hill,1997,NOT_FOUND,
Never Make A Promise,Dru Hill,1997,NOT_FOUND,
Ring Me (Legran & Alex Rosco Remix),Duck Sauce,,NOT_FOUND,
Dazzey Dukes,Duice,,NOT_FOUND,
Barely Breathing,Duncan Sheik,,NOT_FOUND,
Ordinary World,Duran Duran,,NOT_FOUND,
Come Undone,Duran Duran,,NOT_FOUND,
Maia (Original Mix) music-team.net,Dustycloud,,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/Dustycloud  – Maia (Original Mix) music-team.net.mp3
DVBBS - Raveheart (Original Mix)www.livingelectro.com,DVBBS,,NOT_FOUND,
DVBBS - White Clouds (Original,DVBBS,,NOT_FOUND,
DVBBS - White Clouds (Original,DVBBS,,NOT_FOUND,
Raveheart (Original Mix),DVBBS,,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/DVBBS-Raveheart-Original_Mix-128.mp3
White Clouds (Original,DVBBS,,NOT_FOUND,
Immortal (Original Mix) www.livingelectro.com(1),DVBBS & Tony Junior,,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/DVBBS & Tony Junior - Immortal (Original Mix) www.livingelectro.com(1).mp3
Electric Avenue (2001 Remix),Eddy Grant,,NOT_FOUND,
Candle In The Wind (Diana),Elton John,,NOT_FOUND,
Something About The Way You Look Tonight,Elton John,,NOT_FOUND,
Can You Feel The Love Tonight (Roi Lion),Elton John,,NOT_FOUND,
The One,Elton John,,NOT_FOUND,
Believe,Elton John,,NOT_FOUND,
Unbelievable,EMF,Living in the 90's -- Disk 1,NOT_FOUND,
Lose Yourself,Eminem,,MULTIPLE_MATCHES,
Celebrate (Steve Aoki Remix),Empire of the Sun,URBANMUSiCDAiLY.NET,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/Empire of the Sun - Celebrate (Steve Aoki Remix).mp3
Hold On,En Vogue,Best Of,NOT_FOUND,
Sadness,Enigma,1991 Top 100,NOT_FOUND,
Return To Innocence,Enigma,,NOT_FOUND,
Dirty Dancer (feat. Usher) (Hype Jones Club Mix),Enrique Iglesias,,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/Enrique Iglesias - Dirty Dancer (feat. Usher) (Hype Jones Club Mix) www.livingelectro.com.mp3
Im A Freak (Cosmic vs. Cosmic Dawn Clean Remix),Enrique Iglesias feat. Pitbull,,NOT_FOUND,
Calabria (Dj Cosmic XTD 2),Enur feat. Natasja,,NOT_FOUND,
Calabria (Dj Cosmic XTD),Enur feat. Natasja,,NOT_FOUND,
Calabria 2014 (Cosmic vs. Krunk Remix),Enur feat. Natasja,,NOT_FOUND,
My Lovin' (You're Never Gonna Get It),EnVogue,Funky Divas,NOT_FOUND,
"Give It Up, Turn It Loose",EnVogue,Funky Divas,NOT_FOUND,
Free Your Mind,Envogue,Funky Divas,NOT_FOUND,
Giving Him Something He Can Feel,EnVogue,1992 Top 100,NOT_FOUND,
Don't Let Go (Love),EnVogue,,NOT_FOUND,
Always,Erasure,,NOT_FOUND,
I Don't Want Her - Trey Songz Remix (Intro - Dirty),Eric Bellinger ft. Trey Songz,,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/Eric Bellinger - I Don't Want Her - Trey Songz Remix (Intro - Dirty).mp3
Tears In Heaven,Eric Clapton,,NOT_FOUND,
Change The World,Eric Clapton,,NOT_FOUND,
Miami Beach,Eric Tyrell & Roger Simon ft. Lana Gordon,Summer Session 11,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/Dan Desnoyers/Summer Session 11/13 Miami Beach.mp3
I'll Be There,Escape Club,1991 Top 100,NOT_FOUND,
Stay,Eternal,,NOT_FOUND,
I'll Never Get Over You,Expose,,NOT_FOUND,
Hole Hearted,Extreme,1991 Top 100,NOT_FOUND,
More Than Words,Extreme,,NOT_FOUND,
You Used To Love Me,Faith Evans,Billboard Hits - 1995 - Disk 5,NOT_FOUND,
Soon As I Get Home,Faith Evans,,NOT_FOUND,
Epic,Faith No More,,NOT_FOUND,
Eat Sleep Rave Ping Pong (Gregori Klosman Fusion),Fatboy Slim and Riva Starr,,NOT_FOUND,
Fedde Le Grand & Patric La Funk - Take Me Home (Extended Mix) www.livingelectro.com,Fedde Le Grand & Patric La Funk,,NOT_FOUND,
Fedde Le Grand & Patric La Funk - Take Me Home (Extended Mix) www.livingelectro.com,Fedde Le Grand & Patric La Funk,,NOT_FOUND,
Babylon,"Fedo, Acmurri & Marchesini",Summer Session 11,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/Dan Desnoyers/Summer Session 11/10 Babylon.mp3
"Feenixpawl, Project 46, BYNON, Melissa Ramsay - Home  (Original Mix) www.livingelectro.com","Feenixpawl, Project 46, BYNON, Melissa Ramsay",,NOT_FOUND,
Halo Disposition (Hardwell on air shoot out),Felix Leiter Edit,,NOT_FOUND,
679 (Dean-E-G House Remix),Fetty Wap,,NOT_FOUND,
Bazooka (Original Mix),Firebeatz,Bazooka,NOT_FOUND,
Love Of A Lifetime,Firehouse,1991 Top 100,NOT_FOUND,
When I Look Into Your Eyes,Firehouse,1992 Top 100,NOT_FOUND,
I Live My Life For You,Firehouse,,NOT_FOUND,
Flaremode - Friday (Original Mix) [www.livingelectro.com],Flaremode,Saturday EP,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/Flaremode - Friday (Original Mix) [www.livingelectro.com].mp3
Right Round (Danny Rush Remix),Flo Rida,artMkiss 2011,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/Flo Rida - Right Round (Danny Rush Remix) .mp3
I Cry,Flo Rida,Wild Ones,NOT_FOUND,
Right Round,Flo Rida,,MULTIPLE_MATCHES,
Flo Rida - Turn Around (M&S  &#39;For The Girls&#39; Extended Edit).-3,Flo Rida,,NOT_FOUND,
My House (125-100 Transition DJ Moneykey Edit),Flo Rida,,NOT_FOUND,
Low (Dj Cosmic XTD) 2,Flo-Rida feat. T-Pain & Dance-O-Die,,NOT_FOUND,
NightFalls,Forgotten Eden,Forgotten Eden,NOT_FOUND,
December 1963 (Oh What A Night),Four Seasons,,NOT_FOUND,
I'll Be,Foxy Brown & Jay Z,1997,NOT_FOUND,
MSV (Original Mix),Frank Caro & Alemany,MSV,NOT_FOUND,
Blackout,Franky Rizardo & Roul and,,NOT_FOUND,
Elements (Original Mix),Franky Rizardo & Roul And Doors,,NOT_FOUND,
Da' Dip,Freak Nasty,1997,NOT_FOUND,
Boom Shake The Room,Fresh Prince,,NOT_FOUND,
La Fuente - Selecta (Original Mix) www.livingelectro.com,La Fuente,,NOT_FOUND,
Dreams,Gabrielle,,NOT_FOUND,
Brand New King,Gage,"Singles Pack ""05/31/2014"" - [www.dancehallzone.net]",NOT_FOUND,
Runaway U & I (SoundMan Reconstruction Quick Hitter),Galantis,,NOT_FOUND,
I'll Take You There,General Public,,NOT_FOUND,
I Can't Dance,Genesis,,NOT_FOUND,
Hold On My Heart,Genesis,,NOT_FOUND,
No Son Of Mine,Genesis,,NOT_FOUND,
Too Funky,George Michael,Red Hot + Dance,NOT_FOUND,
Praying For Time,George Michael,1990 Top 100,NOT_FOUND,
Fast Love,George Michael,,NOT_FOUND,
Freedom 90,George Michael,,NOT_FOUND,
Don't Let The Sun Go Down On Me,George Michael & Elton John,1992 Top 100,NOT_FOUND,
Rico Suave,Gerardo,Living in the 90's -- Disk 1,NOT_FOUND,
My Boo,Ghost Town DJ's,,NOT_FOUND,
Follow You Down,Gin Blossoms,,NOT_FOUND,
Till I Hear It From You,Gin Blossoms,,NOT_FOUND,
Found Out About You,Gin Blossoms,,NOT_FOUND,
Hey Jealousy,Gin Blossoms,,NOT_FOUND,
Ooh Aah ... Just A Little Bit,Gina G,,NOT_FOUND,
She Ain't Worth It,Glenn Medeiros & Bobby Brown,,NOT_FOUND,
Turn The Beat Around (The Specialist),Gloria Estefan,Billboard Hits - 1995 - Disk 5,NOT_FOUND,
Coming Out Of The Dark,Gloria Estefan,1991 Top 100,NOT_FOUND,
Here We Are,Gloria Estefan,,NOT_FOUND,
King Of Wishful Thinking,Go West,Pretty Woman,NOT_FOUND,
Faithful,Go West,1993 Top 100,NOT_FOUND,
Name,Goo Goo Dolls,,NOT_FOUND,
I Just Wanna Live,Good Charlotte,,NOT_FOUND,
Somebody That I Used To Know,Goyte feat. Kimbra,,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/Somebody That I Used To Know.mp3
Three Little Pigs,Green Jelly,,NOT_FOUND,
Get Sexy (English),Greg Parys,,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/Greg Parys - Get Sexy [ The Sun Is Comin Up ].mp3
Why Don't We Just Fuck,Greg Parys,,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/Greg Parys - Why Don t We Just Fuck.mp3
Tell Me,Groove Theory,Billboard Hits - 1995 - Disk 4,NOT_FOUND,
Tell Me,Groove Theory,,NOT_FOUND,
November Rain,Guns 'N Roses,,NOT_FOUND,
Sweet Child O' Mine,Guns N' Roses,Appetite For Destruction,NOT_FOUND,
Knockin' Da Boots,H-Town,,NOT_FOUND,
MmmBop,Hanson,,NOT_FOUND,
Spaceman Rocket (Kideo Vocal Reboot),Hardwell,,NOT_FOUND,
The Dance Floor Is Yours (Original Mix),Hardwell & W&W,,NOT_FOUND,
Get Down,Hardwell & W&W,,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/Hardwell & W&W - Get Down.mp3
Get Get (Original Mix),Harry Romero,,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/Harry_Romero-Get_Get-Original_Mix-124.mp3
Dharma (Crossnaders Remix),Headhunterz & KSHMR,,NOT_FOUND,
All I Wanna Do Is Make Love To You,Heart,1990 Top 100,NOT_FOUND,
Now That We've Found Love,Heavy D & The Boyz,1991 Top 100,NOT_FOUND,
Got Me Waiting,Heavy D And The Boyz,,NOT_FOUND,
Bop Gun,Heavy D And The Boyz,,NOT_FOUND,
Ass Up (Original Mix) www.livingelectro.com,Henry Fong x SCNDL,,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/Henry Fong x SCNDL - Ass Up (Original Mix) www.livingelectro.com.mp3
I Like The Way (The Kissing Game),Hi-Five,,NOT_FOUND,
She's Playing Hard To Get,Hi-Five,,NOT_FOUND,
I Can't Wait Another Minute,Hi-Five,,NOT_FOUND,
Only Wanna Be With You,Hootie & The Blowfish,,NOT_FOUND,
Hold My Hand,Hootie And The Blowfish,,NOT_FOUND,
Let Her Cry,Hootie And The Blowfish,,NOT_FOUND,
Only Wanna Be With You,Hootie And The Blowfish,,NOT_FOUND,
Time,Hootie And The Blowfish,,NOT_FOUND,
Old Man And Me,Hootie And The Blowfish,,NOT_FOUND,
Open Your Mind (Dj Cosmic XTD Edit),Human Machine feat. Sweety I,,NOT_FOUND,
Check Yo Self,Ice Cube And DAS EFX,1993 Top 100,NOT_FOUND,
Fancy (Moneykey Intro 8Bars XTD),Iggy Azalea Ft. Charli XCX,,NOT_FOUND,
Constantly,Immature,Billboard Hits - 1995 - Disk 5,NOT_FOUND,
Never Lie,Immature,,NOT_FOUND,
Here Comes The Hotstepper,Ini Kamoze,,NOT_FOUND,
Here Comes The Hotstepper,Ini Kamoze,,NOT_FOUND,
Sweat (A La La La La Long),Inner Circle,,NOT_FOUND,
Disappear,INXS,,NOT_FOUND,
I Wanna Love You,Jade,1992 Top 100,NOT_FOUND,
Don't Walk Away,Jade,,NOT_FOUND,
Every Day Of The Week,Jade,,NOT_FOUND,
One Woman,Jade,,NOT_FOUND,
Lighthouse (Original Mix) www.livingelectro.com,"JAKKO, Steerner vs Klauss & Turino ft Paul Aiden",,MATCH,"/Users/patrickmoniqui/Music/MUSIQUE/JAKKO, Steerner vs Klauss & Turino ft Paul Aiden - Lighthouse (Original Mix) www.livingelectro.com.mp3"
I Don't Have The Heart,James Ingram,,NOT_FOUND,
Hold On,Jamie Walters,,NOT_FOUND,
Don't Wanna Fall In Love,Jane Child,,NOT_FOUND,
That's The Way Love Goes,Janet Jackson,Janet,NOT_FOUND,
Again,Janet Jackson,Janet,NOT_FOUND,
If (Remix),Janet Jackson,Janet,NOT_FOUND,
"Any Time, Any Place",Janet Jackson,Janet,NOT_FOUND,
Because Of Love,Janet Jackson,Janet,NOT_FOUND,
Again,Janet Jackson,Janet,NOT_FOUND,
Love Will Never Do (Without You),Janet Jackson,Rhythm Nation,NOT_FOUND,
Rhythm Nation,Janet Jackson,Rhythm Nation,NOT_FOUND,
Black Cat,Janet Jackson,Rhythm Nation,NOT_FOUND,
Alright,Janet Jackson,1990 Top 100,NOT_FOUND,
Come Back To Me,Janet Jackson,1990 Top 100,NOT_FOUND,
Runaway,Janet Jackson,,NOT_FOUND,
And On And On,Janet Jackson,,NOT_FOUND,
You Want This,Janet Jackson,,NOT_FOUND,
70's Love Groove,Janet Jackson,,NOT_FOUND,
Runaway,Janet Jackson,,NOT_FOUND,
Escapade,Janet Jackson,,NOT_FOUND,
Insensitive,Jann Arden,,NOT_FOUND,
Talk Dirty (Dj Cosmic Rebuild),Jason Derulo feat. Mr. Vegas,,NOT_FOUND,
Caliente (DJ Moneykey Edit),Jay Santos,,NOT_FOUND,
Empire State of Mind,Jay-Z ft. Alicia Keys,The Blueprint 3,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/Empire State of Mind.mp3
The Right Kind Of Love,Jeremy Jordan,,NOT_FOUND,
"Real, Real, Real",Jesus Jones,Doubt,NOT_FOUND,
"Right Here, Right Now",Jesus Jones,1991 Top 100,NOT_FOUND,
Foolish Games,Jewel,Pieces of You,NOT_FOUND,
You Were Meant For Me,Jewel,Pieces of You,NOT_FOUND,
Who Will Save Your Soul,Jewel,,NOT_FOUND,
Parade 98 (Original Mix),Jewelz & Sparks,,NOT_FOUND,
I Can See Clearly Now,Jimmy Cliff,,NOT_FOUND,
Swing The Mood,Jive Bunny And The Mastermixers,1990 Top 100,NOT_FOUND,
We Are The Future,Joachim Garraud ft. Poet Name Life,Summer Session 11,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/Dan Desnoyers/Summer Session 11/17 We Are The Future.mp3
One Of Us,Joan Osborne,,NOT_FOUND,
Freakin' You,Jodeci,Billboard Hits - 1995 - Disk 4,NOT_FOUND,
Lately,Jodeci,,NOT_FOUND,
Come And Talk To Me,Jodeci,,NOT_FOUND,
Cry For You,Jodeci,,NOT_FOUND,
Everything,Jody Watley,1990 Top 100,NOT_FOUND,
All The Things (Your Man Won't Do),Joe,,NOT_FOUND,
Live And Learn,Joe Public,1992 Top 100,NOT_FOUND,
Nothin' My Love Can't Fix,Joey Lawrence,,NOT_FOUND,
Key West Intermezzo,John Mellencamp,,NOT_FOUND,
Wild Night,John Mellencamp & Me'Shell Ndegeocello,,NOT_FOUND,
Rub You The Right Way,Johnny Gill,,NOT_FOUND,
Someone To Love,Jon B Featuring Babyface,,NOT_FOUND,
Just Another Day,Jon Secada,,NOT_FOUND,
If You Go,Jon Secada,,NOT_FOUND,
Do You Believe In Us,Jon Secada,,NOT_FOUND,
Angel,Jon Secada,,NOT_FOUND,
Beautiful In My Eyes,Joshua Kadison,,NOT_FOUND,
When You Love A Woman,Journey,,NOT_FOUND,
Don't Stop Believin' (MYNGA Remix),Journey,MYNGA Free Downloads,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/Journey - Don't Stop Believin' (MYNGA Remix).mp3
JOYRYDE  NIGHT OWL RADIO,JOYRYDE,,NOT_FOUND,
Bailando Por El Mundo (Dj Cosmic Club Mix),Juan Magan Feat. Pitbull & El Cata,,NOT_FOUND,
Mafia Player's Anthem,Junior,Billboard Hits - 1995 - Disk 5,NOT_FOUND,
Get Money,Junior M.A.F.I.A,,NOT_FOUND,
Embarque ma belle,Kain,,NOT_FOUND,
Crunk (Afrojack Edit) www.livingelectro.com,Karim Mika & Daniel Forster -,,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/Karim Mika & Daniel Forster - Crunk (Afrojack Edit) www.livingelectro.com.mp3
Romantic,Karyn White,Living in the 90's -- Disk 1,NOT_FOUND,
The Way I Feel About You,Karyn White,,NOT_FOUND,
Kaskade Ralvero & Alvita - Supa Woofa Empire (Alex Rosales Edit),Kaskade Ralvero & Alvita,,NOT_FOUND,
Everything Changes,Kathy Troccoli,,NOT_FOUND,
California Gurls,Katy Perry Ft. Snoop Dogg,California Gurls,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/California Gurls.mp3
Your Love Is My Drug,Ke$ha,,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/Your Love Is My Drug.mp3
Blah Blah Blah,Ke$ha ft. 3OH!3,Animal,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/Blah Blah Blah.mp3
J'aimerais Trop (Dj Cosmic Rebuild),Keen V & Willy William,,NOT_FOUND,
Make You Sweat,Keith Sweat,1990 Top 100,NOT_FOUND,
I'll Give All My Love To You,Keith Sweat,1991 Top 100,NOT_FOUND,
Twisted,Keith Sweat,,NOT_FOUND,
Nobody,Keith Sweat,,NOT_FOUND,
Keep It Comin',Keith Sweat,,NOT_FOUND,
Nobody,Keith Sweat Featuring Athena Cage,,NOT_FOUND,
Forever In Love,Kenny G,,NOT_FOUND,
Drageløperen [Disc 06]: Track 24,Khaled Hosseini,Drageløperen,NOT_FOUND,
I'M NOT RICH (Willy William Remix),THE KING'S SON ft. BLACKO,,NOT_FOUND,
Forever,Kiss,1990 Top 100,NOT_FOUND,
Freak (Dj Cosmic Remix),Klaas feat. Estelle,,NOT_FOUND,
3 Am Eternal,KLF,1991 Top 100,NOT_FOUND,
Justified And Ancient,KLF & Tammy Wynette,Living in the 90'S - Disk 2,NOT_FOUND,
Knife Party - Begin Again (Original Mix) www.livingelectro.com,Knife Party,,NOT_FOUND,
Knife Party – Boss Mode www.livingelectro.com,Knife Party,,NOT_FOUND,
Konshens - Gal a Bubble (Major Lazer x Bro Safari x ETC!ETC! Remix),Konshens (Major Lazer x Bro Safari x ETC!ETC!),,NOT_FOUND,
Pull Up To Mi Bumper (Willy William Rework),Konshens & J Capri,,NOT_FOUND,
Tonit's Tha Night (Remix),Kris Kross,,NOT_FOUND,
Warm It Up,Kris Kross,,NOT_FOUND,
Alright,Kris Kross And Super Cat,1993 Top 100,NOT_FOUND,
Jump,Kriss Kross,,NOT_FOUND,
Leviathan (Original Mix) www.livingelectro.com,KSHMR,,NOT_FOUND,
Please Don't Go,KWS,,NOT_FOUND,
Tic-Tac-Toe,Kyper,1990 Top 100,NOT_FOUND,
Y'as Tu D'la Bière Icitte (1975),La Famille Soucy,,NOT_FOUND,
Selecta (Original Mix),La Fuente,,NOT_FOUND,
Nuff Gyal,Laden,"Singles Pack ""05/31/2014"" - [www.dancehallzone.net]",NOT_FOUND,
Bad Romance,Lady GaGa,The Fame,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/Bad Romance.mp3
Just Dance (Dj Cosmic Remix),Lady Gaga,,NOT_FOUND,
Enter Telephone (Djs From Mars Club Remix),Lady Gaga ft Beyonce vs Metallica,www.djblaze.fw.hu,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/Enter Telephone (Djs From Mars Club Remix).mp3
Go (Original Mix),Laidback Luke & Uberjakd,,NOT_FOUND,
Summertime Sadness (Cedric Gervais SoundMan Quick Hitter),Lana Del Rey,,NOT_FOUND,
Summertime Sadness (Kings Remix),Lana Del Rey,Kings Remixes,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/summertime sadness (kings remix).mp3
Mission Impossible (Movie Theme SoundTrack),Larry Mullen & Adam Clayton,Jarretiere,NOT_FOUND,
Hey Hey Hey,Laurent Wery ft. Swiftkid,Summer Session 11,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/Dan Desnoyers/Summer Session 11/11 Hey Hey Hey.mp3
How Do I Live,LeAnn Rimes,,NOT_FOUND,
It Ain't Over 'Til It's Over,Lenny Kravitz,1991 Top 100,NOT_FOUND,
Put Your Fucking Hands Up (Sample),Lil Jon,,NOT_FOUND,
Turn down for what (DJ M1 REMIX),Lil Jon,,NOT_FOUND,
Turn Down For What (Remix),Lil Jon Feat. DJ Snake vs Pitbull & Ludacris,Soundvor.ru,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/Lil Jon Feat. DJ Snake vs Pitbull &amp; Ludacris - Turn Down For What (Remix) - Soundvor.ru [mp3clan.com].mp3
Old Town Road Remix (Intro),Lil Nas X ft. Billy Ray Cyrus,,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/Lil Nas X - Old Town Road Remix (Intro).mp3
Not Tonight,Lil' Kim,,NOT_FOUND,
Don't Know Much,Linda Ronstadt & Aaron Neville,,NOT_FOUND,
Sending All My Love,Linear,,NOT_FOUND,
Stay,Lisa Loeb & Nine Stories,Reality Bites,NOT_FOUND,
All Around The World,Lisa Stansfield,,NOT_FOUND,
BEST Of ELECTRO 2010 VOL.2 (Mixed by FAST FOOT INC.),LIVINGELECTRO,www.livingelectro.com,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/BEST Of ELECTRO 2010 VOL.2 (Mixed by FAST FOOT INC.).mp3
Around The Way Girl,LL Cool J,1991 Top 100,NOT_FOUND,
Hey Lover,LL Cool J,,NOT_FOUND,
Loungin',LL Cool J,,NOT_FOUND,
Doin' It,LL Cool J,,NOT_FOUND,
I've Been Thinking About You,Londonbeat,1991 Top 100,NOT_FOUND,
When Will The Bass Drop (Original Mix) www.livingelectro.com,Lonely Island feat Lil Jon & Sam F,,NOT_FOUND,
Lorde - Yellow Flicker Beat (2nd Room Remix),Lorde,,NOT_FOUND,
Yellow Flicker Beat (2nd Room Remix),Lorde,,NOT_FOUND,
Yellow FLicker Beat (2nd Room Remix) (Dj Moneykey Edit),Lorde,,NOT_FOUND,
Macarena(Bayside Boys Mix),Los Del Rio,,NOT_FOUND,
Macarena(Ariola),Los Del Rio,,NOT_FOUND,
Macarena - Billy The Kit Remix,Los Del Rio,,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/Los Del Rio - Macarena - Billy The Kit Remix.mp3
Are you with me (DJ Moneykey Remix),Lost Frequencies,,NOT_FOUND,
Just Between You And Me,Lou Gramm,1990 Top 100,NOT_FOUND,
Love No More,Loud Luxury & anders,,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/Loud Luxury & anders - Love No More.mp3
Hoopty (QC Version),Ludakid feat. Dynasty &Dj-Cosmic,,NOT_FOUND,
I Got 5 On It,Luniz,Billboard Hits - 1995 - Disk 2,NOT_FOUND,
Here And Now,Luther Vandross,1990 Top 100,NOT_FOUND,
Power Of Love/Love Power,Luther Vandross,1991 Top 100,NOT_FOUND,
The Best Things In Life Are Free,Luther Vandross & Janet Jackson,,NOT_FOUND,
Endless Love,Luther Vandross And Mariah Carey,,NOT_FOUND,
Wining Season (Dj Cosmic XTD),Machel Montano feat. Shaggy,,NOT_FOUND,
Don't Worry (Dj SoundMan Quick Hitter),Madcon Ft. Ray Dalton,,NOT_FOUND,
Take A Bow,Madonna,Bedtime Stories,NOT_FOUND,
Secret,Madonna,Bedtime Stories,NOT_FOUND,
Secret,Madonna,Billboard Hits - 1995 - Disk 4,NOT_FOUND,
Deeper And Deeper,Madonna,Erotica,NOT_FOUND,
Rain,Madonna,Erotica,NOT_FOUND,
Justify My Love,Madonna,Immaculate Collection,NOT_FOUND,
I'll Remember,Madonna,Something to Remember,NOT_FOUND,
Vogue,Madonna,1990 Top 100,NOT_FOUND,
This Used To Be My Playground,Madonna,1992 Top 100,NOT_FOUND,
You'll See,Madonna,,NOT_FOUND,
Premier Gaou (Dj Cosmic Remix),Magic System,,NOT_FOUND,
Up Jumps Da Boogie,Magoo & Timberland,1997,NOT_FOUND,
"Watch Out For This (Dimitri Vegas & Like Mike ""Tomorrowland"" Remix)",Major Lazer,URBANMUSiCDAiLY.NET,NOT_FOUND,
Come To Me (Willy William Edit),Major Lazer feat. Sean Paul,,NOT_FOUND,
Party Till We Die - DJ Primetyme Club Edit,MAKJ & Timmy Trumpet ft. Andrew W.K.,,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/MAKJ & Timmy Trumpet - Party Till We Die - DJ Primetyme Club Edit.mp3
Vision Of Love,Mariah Carey,1990 Top 100,NOT_FOUND,
Someday,Mariah Carey,1991 Top 100,NOT_FOUND,
Love Takes Time,Mariah Carey,1991 Top 100,NOT_FOUND,
Can't Let Go,Mariah Carey,1992 Top 100,NOT_FOUND,
One Sweet Day,Mariah Carey,,NOT_FOUND,
Always Be My Baby,Mariah Carey,,NOT_FOUND,
Hero,Mariah Carey,,NOT_FOUND,
Fantasy,Mariah Carey,,NOT_FOUND,
Dream Lover,Mariah Carey,,NOT_FOUND,
I'll Be There,Mariah Carey,,NOT_FOUND,
Never Forget You,Mariah Carey,,NOT_FOUND,
Without You,Mariah Carey,,NOT_FOUND,
Emotions,Mariah Carey,,NOT_FOUND,
I Don't Wanna Cry,Mariah Carey,,NOT_FOUND,
Honey,Mariah Carey,,NOT_FOUND,
Make It Happen,Mariah Carey,,NOT_FOUND,
Anytime You Need A Friend,Mariah Carey,,NOT_FOUND,
Fantasy,Mariah Carey,,NOT_FOUND,
Love Takes Time,Mariah Carey,,NOT_FOUND,
Return Of The Mack,Mark Morrison,,NOT_FOUND,
Uptown Funk JNR V Bombs Away - CLX Remix,Mark Ronson ft Bruno Mars,,NOT_FOUND,
Good Vibrations,Marky Mark & The Funky Bunch,Living in the 90's -- Disk 1,NOT_FOUND,
Wildside,Marky Mark And The Funky Bunch,,NOT_FOUND,
Now That I've Found You,Martin Garrix feat. John & Michel,,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/Martin Garrix feat. John & Michel - Now That I've Found You (Original Mix).mp3
In The House Of Stone And Light,Martin Page,,NOT_FOUND,
Love Is In The Air 1978,Martin Stevens,,NOT_FOUND,
Real Love,Mary J Blige,What's the 411 ?,NOT_FOUND,
Real Love,Mary J Blige,1992 Top 100,NOT_FOUND,
Not Gon' Cry,Mary J Blige,,NOT_FOUND,
Catch & Release (Deepend Remix),Matt Simons,ClapCrate.com,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/Matt Simons - Catch & Release (Deepend Remix) [ClapCrate.com].mp3
Miss Fatty Riddim,Max Wallin',,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/Max Wallin' - Miss Fatty Riddim.mp3
Close To You,Maxi Priest,,NOT_FOUND,
