Title,Artist,Album,Location,Duration,Persistent ID
Back It Up (Dj Cosmic Short XTD),Beenie Man,,,185.21,06B29F0C37BA9636
Do Me,Bell Biv DeVoe,,,272.43,EA39A9E563D77E01
Benny Benassi-Satisfaction(Acapella),Benny Benassi,,,171.41,F345B8AFBF90AFF6
Satisfaction (Acapella),Benny Benassi,,,171.41,35D151FD6FA3CE37
From A Distance,Bette Midler,1991 Top 100,,278.44,58A54AE2272836A0
Good,Better Than Ezra,,,184.82,DD5241B3D9F7C4EC
Drunk In Love (WILLY WILLIAM BOOTLEG),BEYONCE,,,234.19,8368AA5D0F110829
Baby I Love Your Way,Big Mountain,Reality Bites,,264.23,86706E0AB6EF3CF9
IDFWU 'I Don't Fuck With You' (DJ Intro's) (DJ Intro Dirty),Big Sean ft. E-40,,,284.19,E61BC4EB8F9A087E
Cradle Of Love (Remastered),Billy Idol,Greatest Hits,,278.75,4099A7E6EC1E5DA2
Say Goodbye To Hollywood,Billy Joel,Songs In The Attic [Live],,266.68,91E60534AD0472C5
The River of Dreams,Billy Joel,50 Years of the Piano Man,,246.52,CE88664B636D1F93
I Go to Extremes (Audio),Billy Joel,,,264.46,70E5464147A92792
We Didn't Start the Fire,Billy Joel,,,291.76,C4C5B341F0250925
Everybody Everybody,Black Box,,,254.15,FD639D0835F82209
Strike It Up,Black Box,,,315.17,E2ED37845055B93F
Before I Let You Go,Blackstreet,Billboard Hits - 1995 - Disk 4,,299.05,F6D934062F66ECC8
No Diggity,Blackstreet,,,307.04,0C20084EE86FD854
No Diggity,BLACKstreet Featuring Dr. Dre,,,303.83,45BFF3FB5F997B64
Snake (Original Mix)www.livingelectro.com,Blasterjaxx,,,311.38,D3B535A4507D03A6
I Believe,Blessid Union Of Souls,,,268.07,2B99502F80AFDF42
Run-Around,Blues Traveler,,,279.22,B6F716B64716C7C0
Hook,Blues Traveler,,,290.22,35C4AF005B7219BF
Toune De Bière (Martell Edit),Bob Bissonnette x Serj Elnitz & Michael Feiner,,,185.34,5698C83C01D80F85
Far l'Amore,Bob Sinclair & Raffaella Carra,Summer Session 11,,180.87,B52DB28CC8DEE37D
Rock This Party,Bob Sinclar,,,196.52,FF3319685071840A
Humpin' Around,Bobby Brown,Living in the 90'S -- Disk 1,,377.70,06838BA7AEC0B1FF
Good Enough,Bobby Brown,,,302.03,FB744197C32F819C
Closer To Free,Bodeans,,,189.68,97A8C5E39BC98A31
Ronda Rousey (Original Mix),Bombs Away,,,131.06,A9F0C95B08475392
You Give Love A Bad Name,Bon Jovi,Greatest Hits,,225.49,FA4E5BAF015B7137
It's My Life,Bon Jovi,Greatest Hits,,241.61,BFA6B8DCF1653284
I'll Be There For You,Bon Jovi,Greatest Hits,,350.93,EA08A13C5C4E5312
Bed Of Roses,Bon Jovi,Greatest Hits,,402.81,EA8259B6F41A160C
Always,Bon Jovi,Greatest Hits,,336.64,F7F0C50787C32426
Blaze Of Glory,Bon Jovi,1990 Top 100,,333.04,64E200F1CC0DCBC0
Always,Bon Jovi,,,353.57,FDB63B3ACDD6C6E4
This Ain't A Love Song,Bon Jovi,,,304.77,32746DAD959D14D8
Always,Bon Jovi,,,353.57,D05EFAA1B7CB54E9
Bed of Roses,Bon Jovi,,,393.38,92422648EFFC11B4
1st Of Tha Month,Bone Thugs N Harmony,Billboard Hits - 1995 - Disk 5,,314.83,71901326E552BD75
Look Into My Eyes,Bone Thugs N Harmony,1997,,267.70,916FE569004ED8AD
Crossroads,Bone Thugs N Harmony,,,229.15,53EF5900DE9C2476
Something To Talk About,Bonnie Raitt,1991 Top 100,,227.55,0369ED6305414F92
Love Sneakin' Up On You,Bonnie Raitt,,,221.83,CDB5DDF552672A9C
I Can't Make You Love Me,Bonnie Raitt,,,285.18,C3D9EA8FC351A3C7
Break The House (Original Mix),Borgeous & Tony Junior,,,293.59,B8B707389259498C
Sweet Dreams,La Bouche,,,287.84,4FD711038FAEC5DC
That's What Love Can Do,Boy Krazy,,,199.94,7FBF5CC372C46684
I'll Make Love To You,Boyz II Men,Billboard Hits - 1995 - Disk 4,,238.73,761B70EE0BBABEBE
Motownphilly,Boyz II Men,1991 Top 100,,235.31,2923E97EFEB43730
End Of The Road,Boyz II Men,,,348.55,5283A1AFFF675188
I'll Make Love To You,Boyz II Men,,,236.67,1F466ACE928E4370
On Bended Knee,Boyz II Men,,,328.78,93DDBAA57AE64091
In The Still Of The Night,Boyz II Men,,,168.99,7DC4A20A1CB473F5
Water Runs Dry,Boyz II Men,,,201.77,715288D95F00DAE6
4 Seasons Of Loneliness,Boyz II Men,,,292.05,4FA96D3DA97DAC0A
It's So Hard To Say Goodbye To Yesterday,Boyz II Men,,,170.89,69A1139E3B55061A
Uhh Ahh,Boyz II Men,,,231.37,9A5B2804F28ACECD
Thank You,Boyz II Men,,,272.25,8029AEC8808FEBB1
Baby,Brandy,Billboard Hits - 1995 - Disk 4,,313.21,A6F5A6E4B081C576
I Wanna Be Down,Brandy,Billboard Hits - 1995 - Disk 4,,294.01,70D95F887ED9AD42
Broken Hearted,Brandy,Billboard Hits - 1995 - Disk 5,,286.85,01384843977EDA82
Best Friend,Brandy,Billboard Hits - 1995 - Disk 6,,288.86,DD0182F24102AFC2
Sittin' Up In My Room,Brandy,,,290.56,ED550F5A619E0A83
I Wanna Be Down,Brandy,,,293.54,53470B17E3CE659C
One Last Cry,Brian McKnight,,,291.47,4DFF0F4DDAE17BAD
I Wanna Go (Martin & Souza Club Mix),Britney Spears,www.livingelectro.com,,469.13,CA0B87ACBD6A737C
Gimme More (Dj Cosmic XTD Reggaeton 2),Britney Spears feat. Dance-O-Die,,,184.24,28B2E9DB2812CCC5
If You Love Me,Brownstone,,,304.64,BF64FFD55BFB79CC
Streets Of Philadelphia,Bruce Springsteen,,,257.02,14371AEEA7EAAFAF
Locked Out Of Heaven (Sultan & Ned Shepard Remix) COSMIC REBUILD,Bruno Mars,,,294.43,05415FAF8C5C64D8
24K Magic (Cristian Tomas Extended Remix) MASTER,Bruno Mars,,,203.05,30A469C9AAC882BD
Please Forgive Me,Bryan Adams,So Far So Good,,355.32,2DD8A2B575129452
Do I Have To Say The Words,Bryan Adams,So Far So Good,,371.12,35487E7B88A91A8A
Can't Stop This Thing We Started,Bryan Adams,1991 Top 100,,268.15,696C0035147AAC9C
Have You Ever Really Loved A Woman,Bryan Adams,,,291.03,2A1A666AF09C0C0C
Thought I'd Died And Gone To Heaven,Bryan Adams,,,348.37,070E549E2642530A
(Everything I Do) I Do It For You,Bryan Adams,,,392.80,3017AFCAA97AC574
All For Love,"Bryan Adams, Sting & Rod Stewart",,,284.52,627034B0B667A109
Differentology (Major Lazer Remix) (SoundMan Club Hitter),Bunji Garlin,,,280.06,C4FDBA50732BE927
Everything Remains Raw,Busta Rhymes,,,220.81,31167DC16D399D07
Gonna Make You Sweat (Everybody Dance Now),C & C Music Factory,1991 Top 100,,246.46,4E011AFC9A64A078
"Here We Go, Let's Rock & Roll",C & C Music Factory,1991 Top 100,,342.73,C80A7ECAA69FB005
Things That Make You Go Hmmmm,C & C Music Factory,1991 Top 100,,323.89,380BD9379EB43BE8
Teach me how to dougie,California Swag District,www.djyellow.com,,207.78,E11A2778D6EFF4B9
I Wanna Be Rich,Calloway,1990 Top 100,,306.99,DCD7C435BFF2277C
Blame Acapella,Calvin Harris,,,170.68,AACC65C4A82F44C5
Blame Acapella,Calvin Harris,,,170.68,31A58D16FBB20BE0
Outside (SoundMan Club Hitter),Calvin Harris,,,382.72,90C5D171665CFA6D
Summer (Bombs Away Remix),Calvin Harris,,,285.07,1B3ECB3C313E6367
Summer Acapella,Calvin Harris,,,185.68,9383759EA8BB7C8E
We'll Be Coming Back (SoundMan Quick Hitter),Calvin Harris,,,210.23,D75082C38171C1B2
How Deep Is Your Love (Single Version),Calvin Harris & Disciples,,,212.71,F9ED5506F09FA499
Sweet Nothing (SoundMan Quick Intro),Calvin Harris Feat. Florence Welch,,,256.44,B2CF7F25A4C694BC
Blame (Acapella),Calvin Harris feat. John Newman,,,50.10,8ABC7316FC96943B
More And More,Captain Hollywood Project,,,249.86,BEECEF73388B4D03
Toca (Original Mix),Carnage feat. Timmy Trumpet & KSHMR,drunkenbeat.net,,221.34,CDFD4780BFD2FEA4
"Touch Me, Tease Me",Case Featuring Foxy Brown,,,227.24,B9C66332E4668BBB
Touch Me (All Night Long),Cathy Dennis,1991 Top 100,,249.36,BDBA0728762D025B
Too Many Walls,Cathy Dennis,,,242.65,9962F93B66B21537
Just Another Dream,Cathy Dennis,,,244.22,D1515388E52DC36C
Finally,CeCe Peniston,Living in the 90'S -- Disk 1,,245.37,5357F0C39D870FFD
Keep On Walkin',CeCe Peniston,,,236.72,5D9DB3CA9939222B
We Got A Love Thang,CeCe Peniston,,,327.99,960FD8E3FF806D61
Beauty And The Beast (Duet With Peabo Bryson),Celine Dion,My Love-Ultimate Essential Collection,,244.79,162CCBF3518BF47E
The Power Of Love,Celine Dion,The very best of,,342.44,BEE0AC51EE353540
Where Does My Heart Beat Now,Celine Dion,1991 Top 100,,271.93,EBF83BAE7532DF54
If You Asked Me To,Celine Dion,1992 Top 100,,232.36,5A316A87E8A28E5C
Because You Loved Me,Celine Dion,,,273.24,F1D7CAC4CEF6A830
It's All Coming Back To Me Now,Celine Dion,,,456.59,E031C20084D89F2D
All By Myself,Celine Dion,,,312.92,E09B9F5D2C02086F
It's All Coming Back To Me Now,Celine Dion,,,457.35,B93DF14899D00448
G.H.E.T.T.O.U.T,Changing Faces,1997,,269.32,FDD802C785DF240D
Stroke You Up,Changing Faces,,,349.83,BD0E8D0CA4DD9190
Would I Like To You,Charles & Eddie,20 Ans RTL 2,,216.06,5AF20D8936449900
Wine & Kotch instrumental,Charly Black and J Capri,,,203.47,66B8338381C6AEE3
Just Like Jesse James,Cher,,,247.27,7E41BAAE7783E6A9
The One And Only,Chesney Hawkes,,,218.98,5A747769DF41EC39
What Kind Of Man Would I Be (Remix),Chicago,Greatest Hits 1982-1989,,254.43,14375FE4253254C7
Wicked Game,Chris Isaak,1991 Top 100,,288.21,FE45872F58339CD0
Who Is Ready To Jump (Chuckie Jump Around Bootleg),Chuckie,,,374.18,7E3E918BF4485FCE
In Da Club,"Clyde Carson, Sean Kingston and The Game",In Da Club Single,,245.32,79294747D92BE502
Shine,Collective Soul,,,306.44,5E7E5B4712479BB6
December,Collective Soul,,,285.36,EBE49D221773B173
The World I Know,Collective Soul,,,256.55,1E48A2CD009DC316
I Wanna Sex You Up,Color Me Badd,,,246.39,9BD11EC8B3473C60
All 4 Love,Color Me Badd,,,211.88,BB41D4DE557185A4
